header-dhcprange,end_address*,_new_end_address,start_address*,_new_start_address,always_update_dns,boot_file,boot_server,broadcast_address,comment,ddns_domainname,deny_all_clients,deny_bootp,disabled,domain_name,domain_name_servers,enable_ddns,enable_pxe_lease_time,enable_threshold_email_warnings,enable_threshold_snmp_warnings,enable_thresholds,exclusion_ranges,failover_association,fingerprint_filter_rules,generate_hostname,ignore_client_requested_options,known_clients_option,lease_scavenge_time,lease_time,mac_filter_rules,member,ms_server,_new_ms_server,nac_filter_rules,name,network_view,next_server,option_filter_rules,option_logic_filters,pxe_lease_time,range_high_water_mark,range_high_water_mark_reset,range_low_water_mark,range_low_water_mark_reset,recycle_leases,relay_agent_filter_rules,routers,server_association_type,threshold_email_addresses,unknown_clients_option,update_dns_on_lease_renewal,EA-Site,EA-Site Code,EA-ex,OPTION-11,OPTION-150,OPTION-176,OPTION-242,OPTION-49,OPTION-66,OPTION-67
header-reservedrange,end_address*,_new_end_address,start_address*,_new_start_address,basic_polling_settings,comment,disabled,discovery_member,enable_discovery,exclusion_ranges,name,network_view
dhcprange,172.16.244.200,,172.16.244.100,,False,,,,,,False,,False,,,,,False,False,,,PR-FOA,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.245.254,,172.16.245.30,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,pur-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.16.80.126,,172.16.80.21,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.84.240,,172.16.84.31,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.92.254,,172.16.92.31,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.93.254,,172.16.93.31,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.94.254,,172.16.94.31,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.92.240,,172.30.92.21,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.94.240,,172.30.94.21,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.80.240,,172.16.80.145,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.81.120,,172.16.81.21,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,gdc-0b-mast-ib1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.81.240,,172.16.81.145,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.85.120,,172.16.85.21,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.85.240,,172.16.85.145,,False,,,,,,False,,False,,172.16.88.27,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.86.120,,172.16.86.21,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.86.240,,172.16.86.145,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.87.120,,172.16.87.21,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.134.240,,172.16.134.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.135.240,,172.16.135.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.136.240,,172.16.136.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.137.240,,172.16.137.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.138.240,,172.16.138.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.143.254,,172.16.140.1,,False,,,,,,False,,False,,,,,False,False,,"172.16.140.1-172.16.140.80,172.16.140.85-172.16.140.85,172.16.140.101-172.16.140.159,172.16.140.183-172.16.140.183,172.16.141.1-172.16.141.80,172.16.142.1-172.16.142.80,172.16.143.1-172.16.143.81,172.16.143.191-172.16.143.254",STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.144.254,,172.16.144.1,,False,,,,,,False,,False,,,,,False,False,,172.16.144.1-172.16.144.99,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.139.240,,172.16.139.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.150.240,,172.16.150.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.151.240,,172.16.151.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.156.254,,172.16.156.30,,False,,,,,,False,,False,,,,,False,False,,"172.16.156.98-172.16.156.99,172.16.156.191-172.16.156.253,172.16.156.254-172.16.156.254",STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.157.240,,172.16.157.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.158.240,,172.16.158.30,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.207.254,,172.16.207.10,,False,,,,,,False,,False,,,,,False,False,,,STA-FOA,,,,,,28800,,sta-0nsta-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,192.13.52.40,,192.13.52.20,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,,,,,Test,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.103.254,,172.16.100.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.107.254,,172.16.104.30,,False,,,,,,False,,False,,,,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.103.254,,172.30.100.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,3600,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.108.254,,172.16.108.200,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.112.254,,172.16.112.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.113.254,,172.16.113.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.114.254,,172.16.114.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.115.254,,172.16.115.30,,False,,,,,myl.com,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102,172.16.88.27",True,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,True,,,,,,,,,,
dhcprange,172.16.116.254,,172.16.116.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.117.254,,172.16.117.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.118.254,,172.16.118.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.119.254,,172.16.119.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.120.254,,172.16.120.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.16.121.254,,172.16.121.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.108.254,,172.30.108.200,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.112.254,,172.30.112.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.113.254,,172.30.113.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.114.254,,172.30.114.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.115.254,,172.30.115.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.116.254,,172.30.116.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.117.254,,172.30.117.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.118.254,,172.30.118.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.119.254,,172.30.119.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.120.254,,172.30.120.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.121.254,,172.30.121.30,,False,,,,,,False,,False,,"172.16.108.53,172.20.31.11,172.20.31.102",,,False,False,,,SPE-FOA,,,,,,,,,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.91.254,,172.30.88.40,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.86.126,,172.30.86.30,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,gdc-0b-mast-ib1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.85.254,,172.30.85.146,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22,172.27.20.13",,,,,
dhcprange,172.30.85.126,,172.30.85.30,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22,172.27.20.13",,,,,
dhcprange,172.30.84.254,,172.30.84.30,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22, 172.27.20.13",,,,,
dhcprange,172.30.81.254,,172.30.81.146,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22, 172.27.20.13",,,,,
dhcprange,172.30.81.126,,172.30.81.30,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22, 172.27.20.13",,,,,
dhcprange,172.30.80.254,,172.30.80.146,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22, 172.27.20.13",,,,,
dhcprange,172.30.80.126,,172.30.80.30,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.30.87.126,,172.30.87.30,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22, 172.27.20.13",,,,,
dhcprange,172.30.86.254,,172.30.86.146,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,604800,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,"172.20.50.22,172.27.20.13",,,,,
dhcprange,172.16.91.254,,172.16.89.1,,False,,,,,,False,,False,,,,,False,False,,,GSO-FOA,,,,,,,,us-0sgso-ib.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.18.26.254,,172.18.26.31,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,"172.19.180.36, 192.19.180.35",,,,,
dhcprange,172.18.27.126,,172.18.27.81,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.50.254,,172.18.50.31,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.56.254,,172.18.56.30,,False,,,,,,False,,False,,,,,False,False,,172.18.56.48-172.18.56.48,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.57.254,,172.18.57.30,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.116.254,,172.18.116.50,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.118.254,,172.18.118.50,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.120.254,,172.18.120.50,,False,,,,,,False,,False,,,,,False,False,,,EMEADC,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.18.122.254,,172.18.122.50,,False,,,,,,False,,False,,,,,False,False,,,EMEADC,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.18.124.254,,172.18.124.50,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.181.254,,172.18.181.220,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.19.120.240,,172.19.120.31,,False,,,,,,False,,False,,,,,False,False,,,EMEADC,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,FAILOVER,,,,,,,,,,,,,
dhcprange,172.22.244.254,,172.22.244.50,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.22.245.254,,172.22.245.50,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.22.246.254,,172.22.246.50,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.29.56.126,,172.29.56.15,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.29.56.254,,172.29.56.140,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.29.57.126,,172.29.57.15,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.29.57.254,,172.29.57.140,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.18.27.185,,172.18.27.136,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
dhcprange,172.19.27.126,,172.19.27.81,,False,,,,,,False,,False,,,,,False,False,,,,,,,,,,,deu-b5fr4-infblx1.myl.com,,,,,default,,,,,95,85,0,10,,,,MEMBER,,,,,,,,,,,,,
